Moviename,Type,weight
极地大冒险2,,0.05156649382427688
极乐空间,动作/科幻/惊悚,0.8322011843222441
极品飞车,动作/犯罪,0.5684805778019948
极速风流,动作/传记/运动,0.5150624733221103
极速蜗牛,动画,0.09155176631475245
极限挑战之皇家宝藏,喜剧/悬疑/真人秀,0.390735595855601
记忆碎片,惊悚/悬疑/犯罪,0.31064020155716976
既然青春留不住,爱情/喜剧,0.5266470572282416
寄生兽,科幻/恐怖,0.1973905218087022
家园防线,动作/惊悚,0.6393391045561032
甲方乙方,喜剧,0.28656422771478607
假装看不见之电影大师,爱情/喜剧,0.5266470572282416
假装看不见之电影大师,爱情/喜剧,0.5266470572282416
坚不可摧,动作/运动,0.500414834103697
煎饼侠,喜剧/爱情,0.5266470572282416
简单爱,爱情/喜剧,0.5266470572282416
剑河,动作/武侠,0.5085732696025721
箭士柳白猿,剧情/武侠/古装,0.09825439225741386
江南爱情故事,爱情,0.24008282951345553
将错就错,喜剧,0.28656422771478607
角逐,剧情/犯罪,0.13017981526766478
劫案迷云,动作/惊悚,0.6393391045561032
结婚那件事,,0.05156649382427688
解救吾先生,动作/犯罪,0.5684805778019948
金蝉脱壳,,0.05156649382427688
金刚狼2,动作,0.49722788404539064
金刚王：死亡救赎,动作/武侠,0.5085732696025721
金箍棒传奇2,动画/喜剧/冒险,0.7115211401389963
金牌流浪狗,喜剧,0.28656422771478607
金太狼的幸福生活,爱情/喜剧,0.5266470572282416
近距离击杀,战争/悬疑,0.1369429378504485
近在咫尺的爱恋,,0.05156649382427688
禁忌游戏之迷藏,惊悚/恐怖,0.14663966255327388
京城81号,惊悚/剧情/悬疑,0.2983146293116264
惊魂电影院,惊悚/恐怖,0.14663966255327388
惊天绑架团,,0.05156649382427688
惊天大逆转,剧情/悬疑,0.15620340880091385
惊天大逆转,剧情/悬疑,0.15620340880091385
惊天魔盗团,动作/悬疑/犯罪,0.6657568650918478
惊天魔盗团2,动作/喜剧/惊悚,0.9259033322708893
惊天危机,动作/灾难,0.5107094710864823
精灵旅社,动画,0.09155176631475245
精灵旅社2,动画/喜剧,0.3781159940295385
精灵王座,动画/爱情/冒险,0.6650397419376658
精武青春,爱情/青春,0.30176794525395023
警察故事2013,动作/警匪,0.5248815449630072
警察日记,纪实/犯罪,0.07919853936113923
九层妖塔,动作/惊悚/魔幻/冒险,1.0069966051879635
九条命,,0.05156649382427688
救火英雄,动作,0.49722788404539064
狙击时刻,动作/犯罪/悬疑,0.6657568650918478
菊花台,爱情,0.24008282951345553
巨人捕手杰克,科幻/冒险,0.5262672258755987
飓风营救3,,0.05156649382427688
绝地逃亡,动作/喜剧/冒险,1.1171972578696345
绝密跟踪,动作/犯罪,0.5684805778019948
绝命海拔,剧情/冒险/惊悚/灾难,0.5479250751723228
绝命航班,惊秫,0.0035626062843857648
绝命逃亡,,0.05156649382427688
绝战,战争,0.039666650560595394
开罗宣言,战争,0.039666650560595394
开罗宣言,战争,0.039666650560595394
开罗宣言,战争,0.039666650560595394
开罗宣言,战争,0.039666650560595394
开心超人,动画,0.09155176631475245
开心超人2启源星之战,动画,0.09155176631475245
铠甲勇士之雅塔莱斯,动画,0.09155176631475245
考拉大冒险,动画,0.09155176631475245
可爱的你,爱情,0.24008282951345553
渴望的青春,爱情/青春,0.30176794525395023
空中营救,动作/悬疑/惊悚,0.7366153918459564
恐怖爱情故事之死亡公路,惊悚/恐怖/爱情,0.38672249206672943
恐怖电影院,惊悚/恐怖,0.14663966255327388
恐怖将映,惊悚/恐怖/爱情,0.38672249206672943
恐怖禁忌之红旗袍,惊悚/恐怖,0.14663966255327388
恐怖禁忌之红旗袍,惊悚/恐怖,0.14663966255327388
恐怖游泳馆,惊悚/恐怖,0.14663966255327388
控制,动作/悬疑/犯罪,0.6657568650918478
哭恋,爱情,0.24008282951345553
快乐到家,喜剧/贺岁,0.29364834786997057
快手枪手快枪手,动作/喜剧,0.7837921117601767
快手枪手快枪手,动作/喜剧,0.7837921117601767
筷仙,惊悚/恐怖,0.14663966255327388
狂怒,战争/动作,0.536894534605986
狂舞派,歌舞,0.006079003152426395
狂野飞车,动作/爱情/冒险,1.070715859668304
狂野非洲,,0.05156649382427688
魁拔Ⅲ战神崛起,动画,0.09155176631475245
魁拔之大战元泱界,动画,0.09155176631475245
昆塔&middot;盒子总动员,,0.05156649382427688
蜡笔总动员,动画/喜剧/家庭,0.4113182201793379
来历不明,科幻,0.19286207976614092
蓝精灵2,动画,0.09155176631475245
蓝色骨头,剧情/音乐,0.059687847547826994
狼兵吼,动作/战争/爱情/悬疑,0.8742536514092947
狼少年,爱情,0.24008282951345553
狼图腾,剧情/冒险,0.3923322676205184
狼图腾,剧情/冒险,0.3923322676205184
老男孩之猛龙过江,喜剧,0.28656422771478607
老炮儿,剧情/亲情/家庭/动作/犯罪,0.6825788167449358
乐乐熊奇幻追踪,动画,0.09155176631475245
了不起的盖茨比,爱情,0.24008282951345553
雷锋的微笑,纪实,0.007945845604535162
雷锋在1959,纪实,0.007945845604535162
雷神2：黑暗世界,动作,0.49722788404539064
冷瞳,惊悚/悬疑,0.23938750780056572
黎明之眼,战争/历史,0.04381872449327998
李可乐寻人记,喜剧/爱情,0.5266470572282416
里约大冒险2,动画,0.09155176631475245
练胆儿,喜剧,0.28656422771478607
恋爱教父之三个“坏”家伙,爱情/喜剧/励志,0.5362216650968492
恋爱排班表,爱情/喜剧,0.5266470572282416
恋爱中的城市,爱情/浪漫,0.24063689891970247
恋者多喜欢,爱情/喜剧,0.5266470572282416
烈日灼心,剧情/犯罪/悬疑/心理,0.23188333395934785
猎仇者,惊悚/悬疑/犯罪,0.31064020155716976
猎神：冬日之战,动作/剧情/冒险,0.8895601516659091
林中小屋,爱情,0.24008282951345553
临时同居,爱情/喜剧,0.5266470572282416
临终囧事,惊悚/喜剧,0.42867544822549863
灵偶契约,惊悚/恐怖,0.14663966255327388
灵臆事件,惊悚/恐怖,0.14663966255327388
