何帅的爱情,爱情,2015/12/4,,,北京环影华艺文化传媒有限公司;,,,0,1,1
余之香,剧情,2015/12/4,,,东莞市捌毫米影视制作有限公司,,,0,1,1
你是不是我的爱人,爱情/励志,2016/3/4,天悦,华夏电影发行有限责任公司;,北京申开影视文化有限公司;,王鼎,,8.8,1,1
你是哪里人,,2013/2/4,姚笛,星美(北京)影业有限公司;,星美(北京)影业有限公司,蒋旭;,,63.6,2,2
使命召唤,动作/犯罪,2015/9/18,西恩·潘,E Stars Films ,TF1 Films Productions ,皮埃尔·莫瑞尔;,,398.2,1,1
使徒行者,动作/警匪/悬疑,2016/8/11,张慧雯,华夏电影发行有限责任公司,香港寰亚电影有限公司,文伟鸿;,王晶,60463.31,1,1
侏罗纪世界,动作/冒险/科幻/惊悚,2015/6/10,布莱丝·达拉斯·霍华德,United International Pictures (UIP) ,安培林娱乐,科林·特莱沃若;,,142065.9,1,1
侏罗纪公园3D,科幻/动作/冒险/惊秫,2013/8/20,鲍勃·佩克,Argentina Video Home ,安培林娱乐,史蒂文·斯皮尔伯格;,,34947.2,1,1
侠探杰克,动作/犯罪,2013/2/16,罗莎曼德·派克（裴淳华）,派拉蒙影业公司,派拉蒙影业公司;,克里斯托夫·迈考利;,,9711.4,1,1
侠盗石川,,2013/3/26,户田惠梨香,Warner Bros. ,,,,107.62,2,2
侨女日记,剧情,2014/5/15,黄诗佳,华夏电影发行有限责任公司;,厦门皓月文化传媒有限公司;,李彦廷;,,2.7,1,1
俐侎阿朵,爱情,2014/3/20,罗世平,成都白屋文化传播有限公司;,四川峨眉电影音像有限公司,罗世平,,0.1,1,1
保安刘十八,剧情,2012/11/21,张宇菲,,,贾雷鸣;,,26.1,1,1
借你俩胆,喜剧/惊悚,2012/11/16,韩兆,河北领头羊影视传媒有限公司;,河北领头羊影视传媒有限公司,韩兆;,,188.2,1,1
倾城,灾难/警匪/动作,2013/5/10,黄觉,华夏电影发行有限责任公司;,八一电影制片厂,黄宏;,,66,1,1
倾城之泪,,2013/1/1,陈国星,北京新影联影业有限责任公司,福建恒业影业有限公司,黄真真;,,4365.37,2,2
假装情侣,,2013/1/13,黄渤,蘭发行团队,电广传媒影业(北京)有限公司,刘奋斗;,,3131.15,2,2
假装看不见之电影大师,爱情/喜剧,2016/7/15,姚星彤,北京新华环球影视文化传播有限公司,北京金尊天悦文化传播有限公司,卫捷;,郑铎,9.2,1,1
催命符,惊悚/悬疑,2015/12/28,于朦胧,北京嘉合映画影视文化传媒有限公司;,北京锦心鼎力文化传媒有限公司,周晓鹏;,,0,1,1
催眠大师,惊悚/悬疑/心理,2014/4/29,徐峥,上海电影（集团）有限公司,万达影视传媒有限公司;,陈正道,,27387,1,1
